,City,Distance,Time,SoL,Min,Max,Std,population
92,Lima,5884,101.95,0.5826,101.25,104.81,1.02,7737002
93,Dronten,5901,73.58,0.8084,73.4,74.51,0.32,38415
94,Oslo,5905,106.83,0.5571,106.49,109.71,0.63,580000
95,Groningen,5926,87.01,0.6811,86.94,87.14,0.41,181194
96,Eindhoven,5929,78.15,0.7601,77.96,78.43,0.26,209620
97,Luxembourg,6047,83.12,0.7286,83.03,83.3,0.25,76684
98,Valencia,6063,115.72,0.5272,115.38,116.36,0.4,814208
99,Hamburg,6122,86.77,0.7119,86.69,87.02,0.36,1739117
100,Lyon,6135,88.94,0.6972,88.79,89.18,0.32,472317
101,Barcelona,6160,100.91,0.616,100.66,101.16,0.43,1621537
102,Copenhagen,6181,83.0,0.7447,82.89,83.33,0.32,1153615
103,Strasbourg,6206,89.3,0.6973,89.07,91.47,0.55,274845
104,Geneva,6207,88.72,0.7053,88.3,92.96,0.8,183981
105,Lausanne,6228,105.26,0.5931,104.97,109.95,0.96,116751
106,Basel,6243,94.54,0.6641,94.43,94.69,0.39,164488
107,Bern,6263,94.45,0.6663,94.3,95.25,0.2,121631
108,Stockholm,6314,97.58,0.6509,96.57,114.05,3.25,1253309
109,Zurich,6317,90.78,0.7019,90.5,91.5,0.46,341730
110,Lugano,6413,105.11,0.6108,104.91,105.42,0.42,26365
111,Milan,6458,99.15,0.6523,99.02,99.97,0.43,1236837
112,Algiers,6471,170.37,0.3806,136.01,331.29,51.09,1977663
113,Munich,6481,98.56,0.6613,98.29,100.7,0.59,1260391
114,Prague,6563,101.75,0.6498,101.61,101.89,0.37,1165581
115,Gdansk,6593,101.03,0.6528,100.9,101.21,0.41,461865
116,Helsinki,6595,101.44,0.653,101.26,101.81,0.17,558457
117,Tallinn,6642,97.92,0.6847,97.72,98.25,0.44,394024
118,Venice,6676,103.84,0.6482,102.19,113.35,2.61,51298
119,Riga,6749,107.28,0.6307,107.0,110.61,0.7,742572
120,Brno,6750,101.5,0.6683,101.38,101.69,0.42,369559
121,Arezzo,6751,107.72,0.6309,107.58,108.18,0.44,76346
122,Ljubljana,6787,92.05,0.7377,91.92,92.28,0.11,272220
123,Vienna,6789,101.47,0.6722,101.38,101.62,0.29,1691468
124,Graz,6792,104.68,0.6531,104.54,105.16,0.31,222326
125,Bratislava,6840,104.28,0.6577,104.05,104.75,0.46,423737
126,Warsaw,6847,105.72,0.6521,105.58,105.93,0.27,1702139
127,Rome,6884,100.75,0.6884,100.63,101.49,0.17,2318895
128,Zagreb,6899,92.52,0.7499,92.36,92.72,0.29,698966
129,Vilnius,6944,107.14,0.649,107.06,107.52,0.43,542366
130,Budapest,7001,103.35,0.6797,102.98,104.05,0.49,1741041
131,Tunis,7139,125.59,0.5711,125.46,125.8,0.24,693210
132,Palermo,7170,119.08,0.6025,118.95,119.97,0.49,648260
133,Belgrade,7255,113.92,0.642,111.81,165.7,9.62,1273651
134,Valletta,7392,130.66,0.5686,130.56,130.82,0.3,5730
135,Tirana,7429,113.22,0.6574,112.96,114.95,0.54,374801
136,Moscow,7503,123.32,0.61,123.01,129.43,1.16,10381222
137,Kiev,7504,124.82,0.6052,124.72,125.03,0.26,2797553
138,Sofia,7578,107.46,0.7082,107.25,107.91,0.32,1152556
139,Bucharest,7644,126.09,0.6067,125.99,126.56,0.21,1877155
140,Varna,7841,122.38,0.6427,121.55,130.76,1.65,312770
141,Athens,7919,128.1,0.6187,126.69,146.06,3.76,664046
142,Honolulu,7982,105.86,0.7602,105.62,106.27,0.48,371657
143,Bursa,8126,127.74,0.6398,127.19,129.96,0.71,1412701
144,Santiago,8214,155.68,0.5299,155.33,156.88,0.58,4837295
145,Accra,8239,208.42,0.3961,207.97,209.63,0.59,1963264
146,Ankara,8391,137.01,0.6125,127.41,176.58,14.08,3517182
147,Lagos,8471,256.44,0.3309,256.26,256.81,0.44,9000000
148,Buenos Aires,8536,150.95,0.5691,150.82,151.38,0.27,13076300
149,Montevideo,8599,162.23,0.5308,157.44,244.19,15.36,1270737
150,Limassol,8794,144.06,0.6107,143.85,144.55,0.32,154000
151,Tbilisi,8969,138.32,0.6499,137.46,140.21,0.93,1049498
152,Cairo,9015,172.46,0.5241,138.11,208.88,19.07,7734614
153,Beirut,9017,138.13,0.6534,134.65,163.46,5.48,1916100
154,Tel Aviv,9116,134.89,0.6803,134.74,135.09,0.51,250000
155,Novosibirsk,9140,163.6,0.5607,163.47,163.78,0.48,1419007
156,Jerusalem,9163,134.31,0.6838,134.19,134.88,0.49,801000
157,Baku,9355,135.24,0.693,135.11,135.94,0.51,1116513
158,Sapporo,10043,164.64,0.6124,164.44,165.26,0.36,1883027
159,Vladivostok,10325,222.89,0.4651,222.78,223.07,0.48,587022
160,Riyadh,10513,156.0,0.6783,153.74,167.78,4.07,4205961
161,Tokyo,10843,144.78,0.753,144.64,145.57,0.48,8336599
162,Zhangjiakou,10905,231.25,0.4721,231.05,232.5,0.35,692602
163,Dubai,11028,179.29,0.6161,179.1,180.17,0.62,1137347
164,Seoul,11048,198.15,0.558,195.2,201.99,3.27,10349312
165,Osaka,11099,162.57,0.6851,162.33,164.22,0.51,19165000
166,Lahore,11340,230.49,0.493,230.29,231.04,0.36,6310888
167,Kampala,11371,222.69,0.5122,221.81,228.13,1.71,1353189
168,New Delhi,11751,224.63,0.5246,224.49,224.76,0.65,317797
169,Nairobi,11839,221.08,0.5357,220.66,222.57,0.54,2750547
170,Shanghai,11857,222.38,0.5341,222.2,224.03,0.57,22315474
171,Hangzhou,11986,242.26,0.4953,239.9,246.61,1.39,6241971
172,Indore,12298,202.97,0.6088,202.78,203.62,0.46,1837041
173,Dar es Salaam,12453,197.35,0.6321,196.28,212.96,3.02,2698652
174,Taipei,12526,197.81,0.6358,189.93,204.44,5.23,7871900
175,Mumbai,12532,202.85,0.6204,202.42,203.64,0.57,12691836
176,Cape Town,12571,263.5,0.478,263.11,265.41,0.69,3433441
177,Pune,12632,193.15,0.6545,192.21,200.93,1.72,2935744
178,Dhaka,12667,250.4,0.5067,249.91,256.97,1.33,10356500
179,Johannesburg,12841,255.22,0.5036,255.15,255.52,0.16,2026469
180,Shenzhen,12927,224.15,0.5771,220.38,228.74,3.53,10358381
181,Hong Kong,12953,197.01,0.6575,196.88,197.36,0.5,7012738
182,Hyderabad,12953,210.94,0.6168,210.66,212.04,0.62,3597816
183,Hanoi,13143,273.25,0.4814,273.1,273.9,0.6,1431270
184,Bangalore,13362,205.57,0.6518,205.31,209.94,0.82,5104047
185,Chennai,13467,223.83,0.6039,223.72,223.95,0.43,4328063
186,Dagupan,13530,213.92,0.6352,212.28,216.15,1.63,164000
187,Manila,13672,234.38,0.5843,227.51,246.36,4.33,10444527
188,Bangkok,13927,322.24,0.4325,278.08,386.26,31.39,5104476
189,Phnom Penh,14197,260.64,0.546,260.53,260.72,0.51,1573544
190,Auckland,14205,220.38,0.6457,219.84,226.32,1.35,417910
191,Ho Chi Minh City,14279,273.24,0.523,272.99,273.67,0.28,3467331
192,Wellington,14414,219.54,0.6582,218.77,221.09,0.57,381900
193,Christchurch,14673,235.82,0.6244,235.66,236.09,0.48,363926
194,Singapore,15326,236.89,0.6494,236.79,237.0,0.64,3547809
195,Brisbane,15507,212.33,0.7315,212.19,214.01,0.4,2189878
196,Sydney,15997,198.81,0.8079,198.68,199.02,0.57,4627345
197,Jakarta,16165,235.34,0.6879,234.72,238.63,0.87,8540121
198,Canberra,16236,220.34,0.738,220.13,221.09,0.51,367752
199,Melbourne,16680,211.83,0.7905,211.69,212.01,0.5,4246375
200,Adelaide,17107,239.99,0.7158,239.23,245.15,1.49,1225235
201,Perth,18703,246.02,0.7603,245.88,246.21,0.45,1896548
